PLAYER NAME             KILLS   DEATHS     KDR   PLAYED WITH CHAMPION(S)
hiiplaymid                  5        1    5.00   Elise
iYoshiCart                  5        1    5.00   Caitlyn
isKorat                     5        1    5.00   Kennen
ishedyourblood              5        1    5.00   Caitlyn
jackelly                    5        1    5.00   Lux
lnteI                       5        1    5.00   Nautilus
moneyboxpost                5        1    5.00   Shen
neohakusho                  5        1    5.00   Rek'Sai
purplegraipz                5        1    5.00   Vi
rogue666666                 5        1    5.00   Brand
saltycris                   5        1    5.00   Volibear
xxPizzaJesusxx              5        1    5.00   Graves
zuzuzutty                   5        1    5.00   Nasus
RAY2TRILL                  29        6    4.83   Lucian
david13334                 19        4    4.75   Morgana
55kg                       28        6    4.67   Katarina
1hmoob                     14        3    4.67   Varus
AcidEclipse                14        3    4.67   Jinx
AmreeLove                  14        3    4.67   LeBlanc
Arrs                       14        3    4.67   Lucian
Guerrillawarfare           14        3    4.67   Teemo
ItsEbola                   14        3    4.67   Sivir
LegendaryObey              14        3    4.67   Rengar
Lordofchicken              14        3    4.67   Gragas
SoulessDreams              14        3    4.67   Zed
SsjFnarf                   14        3    4.67   Shaco
kxdelight                  14        3    4.67   Lucian
toraaaaa                   14        3    4.67   Sivir
Kimilol                    23        5    4.60   Syndra
Lvl20Scyther               23        5    4.60   Varus
PrincessRoxas              23        5    4.60   Tristana
ArchDemon12                27        6    4.50   Swain
Blackmagikad               18        4    4.50   Jinx
JeanSerge                  18        4    4.50   LeeSin
Morphysics                 18        4    4.50   Annie
bearrynice                 18        4    4.50   Tristana
qawsedfrgthyujik           18        4    4.50   Graves
AKIIDESI                    9        2    4.50   Vi
Bog3s                       9        2    4.50   Lissandra
Canvas26                    9        2    4.50   Lucian
Chameera                    9        2    4.50   Diana
DigitalStealth              9        2    4.50   Amumu
Dokkk2                      9        2    4.50   Fiora
Dominque514                 9        2    4.50   Aatrox
Dracoptra                   9        2    4.50   Sivir
DramaKill                   9        2    4.50   Renekton
EdisonOrEzreal              9        2    4.50   Sejuani
GOUFK22                     9        2    4.50   Ahri
Gruxx                       9        2    4.50   Shaco
Haejinah                    9        2    4.50   Yasuo
Heizenb3rg                  9        2    4.50   Malphite
HiNaAB                      9        2    4.50   Cassiopeia
HolyRayne                   9        2    4.50   Lux
HotXspot                    9        2    4.50   Cassiopeia
Jackpot7                    9        2    4.50   Heimerdinger
KRparadise                  9        2    4.50   Renekton
KimTaengu                   9        2    4.50   Jinx
KnightCrawler               9        2    4.50   Udyr
LotusJuice                  9        2    4.50   Xerath
MXhunterXZ                  9        2    4.50   Trundle
Nesyk                       9        2    4.50   Ezreal
ReplayMotion                9        2    4.50   TwistedFate
Revenan                     9        2    4.50   Tristana
Rtard                       9        2    4.50   Zac
Smurf4uuuuuu                9        2    4.50   Azir
Uzivayne                    9        2    4.50   Vayne
VogueKorea                  9        2    4.50   Zed
Wukopam                     9        2    4.50   Vi
ZetsuboshtaxD               9        2    4.50   Gangplank
camthegoalie                9        2    4.50   Fizz
fthna                       9        2    4.50   Blitzcrank
hemphill420                 9        2    4.50   Nidalee
iCH3WY                      9        2    4.50   LeeSin
josff                       9        2    4.50   Jinx
piratekitty                 9        2    4.50   Cho'Gath
tacodive                    9        2    4.50   Jinx
Tibbag                     22        5    4.40   Poppy
Birdgy                     13        3    4.33   Graves
DaDaSunny                  13        3    4.33   Ezreal
FinnisBack                 13        3    4.33   Ziggs
GotGStarLord               13        3    4.33   Annie
HoekeR                     13        3    4.33   Jinx
HypedGURU                  13        3    4.33   Kalista
IntoxtheADC                13        3    4.33   Ezreal
KnighttimeJY               13        3    4.33   Riven
LAXGAMiNG                  13        3    4.33   Nasus
Mythos87                   13        3    4.33   Ezreal
OOOBABE                    13        3    4.33   Udyr
Stack4ttack                13        3    4.33   Graves
bokkuri                    13        3    4.33   Annie
gp123                      13        3    4.33   MasterYi
jiang887769                13        3    4.33   MasterYi
oma2                       13        3    4.33   XinZhao
usmcgizmo                  13        3    4.33   Viktor
Homiez                     17        4    4.25   Annie
JsChenLegend               17        4    4.25   Corki
Kurttttttttttttt           17        4    4.25   Zed
Mazo                       17        4    4.25   XinZhao
MultiTasks                 17        4    4.25   Yasuo
No0bPlayers                17        4    4.25   MasterYi
XxDarknight671xX           17        4    4.25   Caitlyn
grampafuzzynuts            17        4    4.25   Ezreal
nullpo11                   17        4    4.25   Cho'Gath
shintakara                 17        4    4.25   LeBlanc
weather                    17        4    4.25   Vladimir
manulboi                   21        5    4.20   Viktor
DarkMARKRises              25        6    4.17   Irelia
